Year,Population
1990.00000, 45020.76062
1990.08333, 45157.79794
1990.16667, 45301.81398
1990.25000, 45516.60821
1990.33333, 45701.20098
1990.41667, 45826.87714
1990.50000, 45998.33157
1990.58333, 46216.37993
1990.66667, 46372.02246
1990.75000, 46508.16238
1990.83333, 46640.87840
1990.91667, 46844.38690
1991.00000, 46989.83142
1991.08333, 47251.77616
1991.16667, 47400.89737
1991.25000, 47704.96134
1991.33333, 47906.61741
1991.41667, 48105.94297
1991.50000, 48361.13849
1991.58333, 48504.52751
1991.66667, 48694.27106
1991.75000, 48903.80591
1991.83333, 49108.76150
1991.91667, 49376.10766
1992.00000, 49510.46679
1992.08333, 49615.38407
1992.16667, 49640.54780
1992.25000, 49808.41714
1992.33333, 49864.12469
1992.41667, 49898.22346
1992.50000, 49965.54229
1992.58333, 50093.25281
1992.66667, 50171.76771
1992.75000, 50239.38827
1992.83333, 50306.54096
1992.91667, 50387.03061
1993.00000, 50511.36391
1993.08333, 50593.04774
1993.16667, 50739.25817
1993.25000, 50874.16843
1993.33333, 51011.92355
1993.41667, 51148.96077
1993.50000, 51286.33891
1993.58333, 51423.19183
1993.66667, 51560.44053
1993.75000, 51703.76661
1993.83333, 51895.17960
1993.91667, 51951.05320
1994.00000, 52023.60414
1994.08333, 52091.16357
1994.16667, 52159.82513
1994.25000, 52229.19536
1994.33333, 52294.90024
1994.41667, 52372.32169
1994.50000, 52371.29875
1994.58333, 52502.86674
1994.66667, 52509.88290
1994.75000, 52640.72837
1994.83333, 52615.69874
1994.91667, 52675.29124
1995.00000, 52761.08243
1995.08333, 52781.76918
1995.16667, 52857.26476
1995.25000, 52931.87579
1995.33333, 52939.76047
1995.41667, 52999.71057
1995.50000, 53069.14388
1995.58333, 53132.45976
1995.66667, 53137.02743
1995.75000, 53217.84172
1995.83333, 53256.16550
1995.91667, 53283.53619
1996.00000, 53330.02521
1996.08333, 53281.29293
1996.16667, 53204.07263
1996.25000, 53190.94311
1996.33333, 53195.21785
1996.41667, 53128.49065
1996.50000, 53065.94199
1996.58333, 53060.66671
1996.66667, 52981.08921
1996.75000, 52937.02291
1996.83333, 52943.23124
1996.91667, 52941.26816
1997.00000, 52943.25990
1997.08333, 52937.54521
