time,S,E,I,W,R
0.0,157.0,10.0,20.0,0.0,0.0
0.05000000000000001,155.0,13.0,21.0,0.0,0.0
0.10000000000000002,156.0,13.0,22.0,0.0,0.0
0.15000000000000002,153.0,16.0,21.0,0.0,0.0
0.20000000000000004,147.0,17.0,22.0,0.0,0.0
0.25000000000000006,144.0,21.0,21.0,0.0,0.0
0.30000000000000004,139.0,25.0,23.0,0.0,0.0
0.3500000000000001,134.0,28.0,25.0,0.0,0.0
0.4000000000000001,131.0,31.0,24.0,0.0,0.0
0.45000000000000007,125.0,33.0,24.0,0.0,0.0
0.5000000000000001,117.0,36.0,23.0,0.0,0.0
0.5500000000000002,112.0,40.0,25.0,0.0,0.0
0.6000000000000001,113.0,42.0,25.0,0.0,0.0
0.6500000000000001,111.0,43.0,22.0,0.0,0.0
0.7000000000000002,105.0,45.0,21.0,0.0,0.0
0.7500000000000001,100.0,46.0,21.0,0.0,0.0
0.8000000000000002,96.0,46.0,25.0,0.0,0.0
0.8500000000000002,92.0,42.0,30.0,0.0,0.0
0.9000000000000001,91.0,43.0,30.0,0.0,0.0
0.9500000000000002,90.0,40.0,31.0,0.0,0.0
1.0000000000000002,85.0,40.0,32.0,0.0,0.0
1.0500000000000003,32.0,43.0,35.0,46.0,0.0
1.1000000000000003,33.0,36.0,40.0,46.0,0.0
1.1500000000000001,34.0,36.0,42.0,41.0,0.0
1.2000000000000002,34.0,36.0,42.0,40.0,0.0
1.2500000000000002,38.0,37.0,40.0,38.0,0.0
1.3000000000000003,41.0,32.0,43.0,36.0,0.0
1.3500000000000003,42.0,37.0,41.0,33.0,0.0
1.4000000000000004,42.0,36.0,42.0,32.0,0.0
1.4500000000000002,45.0,36.0,40.0,32.0,0.0
1.5000000000000002,46.0,36.0,40.0,32.0,0.0
1.5500000000000003,45.0,33.0,40.0,32.0,0.0
1.6000000000000003,43.0,35.0,38.0,32.0,0.0
1.6500000000000004,44.0,35.0,35.0,32.0,0.0
1.7000000000000004,46.0,32.0,38.0,31.0,0.0
1.7500000000000004,48.0,29.0,38.0,31.0,0.0
1.8000000000000003,43.0,34.0,36.0,28.0,0.0
1.8500000000000003,40.0,33.0,37.0,28.0,0.0
1.9000000000000004,39.0,37.0,33.0,28.0,0.0
1.9500000000000004,40.0,32.0,36.0,27.0,0.0
2.0000000000000004,41.0,30.0,38.0,27.0,0.0
2.0500000000000003,17.0,29.0,39.0,50.0,0.0
2.1000000000000005,20.0,30.0,38.0,49.0,0.0
2.1500000000000004,20.0,31.0,39.0,47.0,0.0
2.2000000000000006,23.0,29.0,38.0,46.0,0.0
2.2500000000000004,20.0,33.0,34.0,46.0,0.0
2.3000000000000003,21.0,34.0,33.0,46.0,0.0
2.3500000000000005,24.0,33.0,30.0,45.0,0.0
2.4000000000000004,25.0,34.0,30.0,42.0,0.0
2.4500000000000006,30.0,36.0,29.0,41.0,0.0
2.5000000000000004,30.0,33.0,30.0,39.0,0.0
2.5500000000000007,30.0,32.0,31.0,37.0,0.0
2.6000000000000005,30.0,33.0,30.0,36.0,0.0
2.6500000000000004,30.0,32.0,31.0,35.0,0.0
2.7000000000000006,29.0,31.0,31.0,35.0,0.0
2.7500000000000004,29.0,29.0,28.0,35.0,0.0
2.8000000000000007,29.0,28.0,28.0,35.0,0.0
2.8500000000000005,30.0,28.0,27.0,35.0,0.0
2.9000000000000004,32.0,28.0,26.0,33.0,0.0
2.9500000000000006,34.0,26.0,28.0,31.0,0.0
3.0000000000000004,15.200000000000001,27.0,28.0,52.8,0.0
3.0500000000000007,15.200000000000003,26.0,30.0,51.8,0.0
3.1000000000000005,17.200000000000003,24.0,30.0,51.8,0.0
3.150000000000001,18.200000000000003,27.0,28.0,48.8,0.0
3.2000000000000006,19.200000000000003,25.0,31.0,46.8,0.0
3.2500000000000004,19.200000000000003,25.0,29.0,45.8,0.0
3.3000000000000007,21.200000000000003,25.0,30.0,43.8,0.0
3.3500000000000005,29.200000000000003,26.0,32.0,40.8,0.0
3.400000000000001,28.200000000000003,24.0,37.0,38.8,0.0
3.4500000000000006,26.200000000000003,26.0,36.0,36.8,0.0
3.500000000000001,30.200000000000003,26.0,35.0,34.8,0.0
3.5500000000000007,31.200000000000003,28.0,33.0,32.8,0.0
3.6000000000000005,32.2,25.0,33.0,31.799999999999997,0.0
3.650000000000001,35.2,24.0,32.0,30.799999999999997,0.0
3.7000000000000006,34.2,25.0,29.0,30.799999999999997,0.0
3.750000000000001,36.2,26.0,29.0,29.799999999999997,0.0
3.8000000000000007,36.2,27.0,28.0,28.799999999999997,0.0
3.8500000000000005,38.2,26.0,29.0,27.799999999999997,0.0
3.900000000000001,39.2,24.0,30.0,27.799999999999997,0.0
3.9500000000000006,34.2,25.0,32.0,26.799999999999997,0.0
4.000000000000001,36.2,24.0,30.0,26.799999999999997,0.0
4.050000000000001,15.480000000000004,24.0,31.0,47.519999999999996,0.0
4.1000000000000005,16.480000000000004,25.0,29.0,47.519999999999996,0.0
4.150000000000001,20.480000000000004,24.0,27.0,46.519999999999996,0.0
4.200000000000001,23.480000000000004,26.0,27.0,44.519999999999996,0.0
4.250000000000001,25.480000000000004,27.0,25.0,43.519999999999996,0.0
4.300000000000001,25.480000000000004,29.0,22.0,42.519999999999996,0.0
4.3500000000000005,30.480000000000004,29.0,23.0,42.519999999999996,0.0
4.400000000000001,33.480000000000004,28.0,23.0,41.519999999999996,0.0
4.450000000000001,34.480000000000004,28.0,24.0,39.519999999999996,0.0
4.500000000000001,35.480000000000004,27.0,23.0,39.519999999999996,0.0
4.550000000000001,41.480000000000004,26.0,23.0,39.519999999999996,0.0
4.6000000000000005,40.480000000000004,26.0,25.0,38.519999999999996,0.0
4.650000000000001,41.480000000000004,27.0,24.0,35.519999999999996,0.0
4.700000000000001,43.480000000000004,26.0,22.0,34.519999999999996,0.0
4.750000000000001,41.480000000000004,24.0,23.0,34.519999999999996,0.0
4.800000000000001,42.480000000000004,19.0,24.0,32.519999999999996,0.0
4.8500000000000005,44.480000000000004,21.0,23.0,31.519999999999996,0.0
4.900000000000001,44.480000000000004,21.0,21.0,31.519999999999996,0.0
4.950000000000001,48.480000000000004,19.0,24.0,30.519999999999996,0.0
5.000000000000001,42.480000000000004,23.0,24.0,28.519999999999996,0.0
5.050000000000001,19.992,22.0,24.0,52.007999999999996,0.0
5.100000000000001,20.992,22.0,24.0,50.007999999999996,0.0
5.150000000000001,23.992,21.0,25.0,49.007999999999996,0.0
5.200000000000001,23.992,20.0,29.0,48.007999999999996,0.0
