Year,Population
1985.00000, 34615.70418
1985.08333, 34615.70418
1985.16667, 34741.36901
1985.25000, 34867.03384
1985.33333, 35055.53109
1985.41667, 35244.02834
1985.50000, 35432.52558
1985.58333, 35621.02283
1985.66667, 35872.35249
1985.75000, 35998.01732
1985.83333, 36186.51457
1985.91667, 36375.01181
1986.00000, 36563.50906
1986.08333, 36752.00630
1986.16667, 36877.67114
1986.25000, 37129.00080
1986.33333, 37254.66563
1986.41667, 37443.16287
1986.50000, 37631.66012
1986.58333, 37945.82220
1986.66667, 38134.31944
1986.75000, 38259.98427
1986.83333, 38448.48152
1986.91667, 38636.97877
1987.00000, 38888.30843
1987.08333, 39076.80567
1987.16667, 39265.30292
1987.25000, 39453.80017
1987.33333, 39705.12983
1987.41667, 39956.45949
1987.50000, 40333.45398
1987.58333, 40459.11881
1987.66667, 40773.28089
1987.75000, 40961.77814
1987.83333, 41150.27538
1987.91667, 41338.77263
1988.00000, 41590.10229
1988.08333, 41841.43195
1988.16667, 41967.09678
1988.25000, 42155.59403
1988.33333, 42281.25886
1988.41667, 42721.08577
1988.50000, 42909.58301
1988.58333, 43035.24784
1988.66667, 43286.57751
1988.75000, 43412.24234
1988.83333, 43663.57200
1988.91667, 43789.23683
1989.00000, 43977.73407
1989.08333, 44040.56649
1989.16667, 44166.23132
1989.25000, 44229.06374
1989.33333, 44354.72857
1989.41667, 44417.56098
1989.50000, 44480.39340
1989.58333, 44543.22581
1989.66667, 44668.89064
1989.75000, 44668.89064
1989.83333, 44794.55547
1989.91667, 44794.55547
1990.00000, 44920.22031
1990.08333, 44983.05272
1990.16667, 45108.71755
1990.25000, 45422.87963
1990.33333, 45611.37688
1990.41667, 45737.04171
1990.50000, 45862.70654
1990.58333, 46051.20378
1990.66667, 46239.70103
1990.75000, 46365.36586
1990.83333, 46428.19828
1990.91667, 46616.69552
1991.00000, 46805.19277
1991.08333, 46930.85760
1991.16667, 47370.68451
1991.25000, 47559.18175
1991.33333, 47810.51141
1991.41667, 47936.17624
1991.50000, 48187.50591
1991.58333, 48376.00315
1991.66667, 48501.66798
1991.75000, 48690.16523
1991.83333, 48878.66248
1991.91667, 49067.15972
1992.00000, 49318.48938
1992.08333, 49569.81904
1992.16667, 49632.65146
1992.25000, 49695.48388
1992.33333, 49821.14871
1992.41667, 49821.14871
1992.50000, 49883.98112
1992.58333, 49946.81354
1992.66667, 50072.47837
1992.75000, 50135.31078
1992.83333, 50198.14320
1992.91667, 50323.80803
1993.00000, 50449.47286
1993.08333, 50512.30528
1993.16667, 50637.97011
1993.25000, 50763.63494
1993.33333, 50889.29977
1993.41667, 51014.96460
1993.50000, 51140.62943
1993.58333, 51266.29426
1993.66667, 51391.95909
1993.75000, 51517.62392
1993.83333, 51643.28875
1993.91667, 51894.61841
1994.00000, 51957.45083
1994.08333, 52020.28325
1994.16667, 52083.11566
1994.25000, 52145.94808
1994.33333, 52208.78049
1994.41667, 52334.44532
1994.50000, 52334.44532
1994.58333, 52334.44532
1994.66667, 52460.11015
1994.75000, 52460.11015
1994.83333, 52585.77498
1994.91667, 52585.77498
1995.00000, 52711.43981
1995.08333, 52711.43981
1995.16667, 52774.27223
1995.25000, 52837.10465
1995.33333, 52899.93706
1995.41667, 52899.93706
1995.50000, 52962.76948
1995.58333, 53025.60189
1995.66667, 53088.43431
1995.75000, 53151.26672
1995.83333, 53214.09914
1995.91667, 53214.09914
1996.00000, 53276.93155
1996.08333, 53276.93155
1996.16667, 53214.09914
1996.25000, 53151.26672
1996.33333, 53151.26672
1996.41667, 53151.26672
1996.50000, 53088.43431
1996.58333, 53025.60189
1996.66667, 52962.76948
1996.75000, 52962.76948
1996.83333, 52899.93706
1996.91667, 52899.93706
1997.00000, 52837.10465
1997.08333, 52899.93706
1997.16667, 52899.93706
1997.25000, 52962.76948
1997.33333, 53025.60189
1997.41667, 53025.60189
1997.50000, 53088.43431
1997.58333, 53151.26672
1997.66667, 53214.09914
1997.75000, 53276.93155
1997.83333, 53339.76397
1997.91667, 53339.76397
1998.00000, 53339.76397
1998.08333, 53276.93155
1998.16667, 53151.26672
1998.25000, 53025.60189
1998.33333, 52899.93706
1998.41667, 52774.27223
1998.50000, 52522.94257
1998.58333, 52397.27774
1998.66667, 52271.61291
1998.75000, 52145.94808
1998.83333, 52020.28325
1998.91667, 51894.61841
1999.00000, 51831.78600
1999.08333, 51706.12117
1999.16667, 51706.12117
1999.25000, 51643.28875
1999.33333, 51643.28875
1999.41667, 51580.45634
1999.50000, 51580.45634
1999.58333, 51517.62392
1999.66667, 51517.62392
1999.75000, 51517.62392
1999.83333, 51454.79151
1999.91667, 51454.79151
2000.00000, 51454.79151
2000.08333, 51391.95909
2000.16667, 51266.29426
2000.25000, 51203.46184
2000.33333, 51014.96460
2000.41667, 50952.13218
2000.50000, 50826.46735
2000.58333, 50700.80252
2000.66667, 50700.80252
2000.75000, 50637.97011
2000.83333, 50575.13769
2000.91667, 50449.47286
2001.00000, 50386.64044
2001.08333, 50386.64044
2001.16667, 50323.80803
2001.25000, 50260.97561
2001.33333, 50198.14320
2001.41667, 50135.31078
2001.50000, 50135.31078
2001.58333, 50135.31078
2001.66667, 50072.47837
2001.75000, 50072.47837
2001.83333, 50009.64595
2001.91667, 49946.81354
2002.00000, 49883.98112
2002.08333, 49695.48388
2002.16667, 49381.32180
2002.25000, 49129.99214
2002.33333, 48878.66248
2002.41667, 48752.99764
2002.50000, 48564.50040
2002.58333, 48376.00315
2002.66667, 48187.50591
2002.75000, 47936.17624
2002.83333, 47810.51141
2002.91667, 47496.34934
2003.00000, 47245.01968
2003.08333, 46742.36035
2003.16667, 46491.03069
2003.25000, 46239.70103
2003.33333, 45925.53895
2003.41667, 45611.37688
2003.50000, 45360.04721
2003.58333, 44983.05272
2003.66667, 44731.72306
2003.75000, 44417.56098
2003.83333, 44103.39891
2003.91667, 43789.23683
2004.00000, 43098.08026
2004.08333, 42783.91818
2004.16667, 42406.92369
2004.25000, 42029.92920
2004.33333, 41590.10229
2004.41667, 41150.27538
2004.50000, 40710.44847
2004.58333, 40270.62157
2004.66667, 39893.62707
2004.75000, 39516.63258
2004.83333, 39076.80567
2004.91667, 38448.48152
2005.00000, 38008.65461
2005.08333, 37694.49254
2005.16667, 37380.33046
2005.25000, 37066.16838
2005.33333, 36940.50355
2005.41667, 36814.83872
2005.50000, 36249.34698
2005.58333, 35683.85524
2005.66667, 35621.02283
2005.75000, 35306.86075
2005.83333, 34804.20143
2005.91667, 34552.87177
2006.00000, 34175.87727
2006.08333, 33861.71520
2006.16667, 33547.55312
2006.25000, 33233.39104
2006.33333, 32919.22897
2006.41667, 32605.06689
2006.50000, 32353.73723
2006.58333, 32039.57515
2006.66667, 31725.41307
2006.75000, 31097.08892
2006.83333, 30782.92684
2006.91667, 30531.59718
2007.00000, 30280.26752
2007.08333, 30091.77027
2007.16667, 29903.27303
2007.25000, 29777.60820
2007.33333, 29651.94337
2007.41667, 29526.27853
2007.50000, 29400.61370
2007.58333, 29274.94887
2007.66667, 29023.61921
2007.75000, 28897.95438
2007.83333, 28835.12197
2007.91667, 28646.62472
2008.00000, 28520.95989
2008.08333, 28395.29506
2008.16667, 28332.46264
2008.25000, 28143.96540
2008.33333, 27955.46815
2008.41667, 27829.80332
2008.50000, 27704.13849
2008.58333, 27389.97641
2008.66667, 27264.31158
2008.75000, 27075.81433
2008.83333, 26887.31709
2008.91667, 26761.65226
2009.00000, 26698.81984
2009.08333, 26573.15501
2009.16667, 26510.32260
2009.25000, 26321.82535
2009.33333, 26196.16052
2009.41667, 26133.32810
2009.50000, 25881.99844
2009.58333, 25756.33361
2009.66667, 25630.66878
2009.75000, 25505.00395
2009.83333, 25505.00395
2009.91667, 25379.33912
2010.00000, 25253.67429
2010.08333, 25128.00946
2010.16667, 25002.34463
2010.25000, 24876.67980
2010.33333, 24751.01496
2010.41667, 24499.68530
2010.50000, 24374.02047
2010.58333, 24248.35564
2010.66667, 24122.69081
2010.75000, 23997.02598
2010.83333, 23871.36115
2010.91667, 23745.69632
2011.00000, 23682.86390
2011.08333, 23557.19907
2011.16667, 23431.53424
2011.25000, 23431.53424
2011.33333, 23305.86941
2011.41667, 23180.20458
2011.50000, 23180.20458
2011.58333, 23180.20458
2011.66667, 23054.53975
2011.75000, 23054.53975
2011.83333, 22928.87492
2011.91667, 22866.04250
2012.00000, 22803.21009
2012.08333, 22677.54526
2012.16667, 22677.54526
2012.25000, 22551.88043
2012.33333, 22551.88043
2012.41667, 22426.21560
2012.50000, 22426.21560
2012.58333, 22363.38318
2012.66667, 22300.55076
2012.75000, 22174.88593
2012.83333, 22174.88593
2012.91667, 22112.05352
2013.00000, 22049.22110
2013.08333, 21923.55627
2013.16667, 21797.89144
2013.25000, 21797.89144
2013.33333, 21672.22661
2013.41667, 21546.56178
2013.50000, 21483.72936
2013.58333, 21358.06453
2013.66667, 21295.23212
2013.75000, 21232.39970
2013.83333, 21106.73487
2013.91667, 20981.07004
2014.00000, 20981.07004
2014.08333, 20792.57279
2014.16667, 20792.57279
2014.25000, 20792.57279
2014.33333, 20729.74038
2014.41667, 20666.90796
2014.50000, 20666.90796
2014.58333, 20604.07555
2014.66667, 20604.07555
2014.75000, 20541.24313
2014.83333, 20478.41072
2014.91667, 20478.41072
2015.00000, 20415.57830
