Year,Population
2000.00000, 51424.57836
2001.00000, 50416.70359
2002.00000, 49706.52889
2003.00000, 46967.79222
2004.00000, 43008.21191
2005.00000, 37947.97700
2006.00000, 34129.23171
2007.00000, 30200.20546
2008.00000, 28460.19107
2009.00000, 26639.13462
2010.00000, 25180.06770
2011.00000, 23604.03697
2012.00000, 22704.96941
2013.00000, 21942.57751
2014.00000, 20932.30398
2015.00000, 20424.03683
2016.00000, 19724.96115
2017.00000, 19351.42228
2018.00000, 18660.51839
2019.00000, 17995.78296
2020.00000, 16868.19930
